date,jour_semaine,mois,trimestre,annee,est_weekend,est_ferie
2025-09-01,Lundi,Septembre,3,2025,False,False
2025-09-02,Mardi,Septembre,3,2025,False,False
2025-09-03,Mercredi,Septembre,3,2025,False,False
2025-09-04,Jeudi,Septembre,3,2025,False,False
2025-09-05,Vendredi,Septembre,3,2025,False,False
2025-09-06,Samedi,Septembre,3,2025,True,False
2025-09-07,Dimanche,Septembre,3,2025,True,False
2025-09-08,Lundi,Septembre,3,2025,False,False
2025-09-09,Mardi,Septembre,3,2025,False,False
2025-09-10,Mercredi,Septembre,3,2025,False,False
2025-09-11,Jeudi,Septembre,3,2025,False,False
2025-09-12,Vendredi,Septembre,3,2025,False,False
2025-09-13,Samedi,Septembre,3,2025,True,False
2025-09-14,Dimanche,Septembre,3,2025,True,False
2025-09-15,Lundi,Septembre,3,2025,False,False
2025-09-16,Mardi,Septembre,3,2025,False,False
2025-09-17,Mercredi,Septembre,3,2025,False,False
2025-09-18,Jeudi,Septembre,3,2025,False,False
2025-09-19,Vendredi,Septembre,3,2025,False,False
2025-09-20,Samedi,Septembre,3,2025,True,False
2025-09-21,Dimanche,Septembre,3,2025,True,False
2025-09-22,Lundi,Septembre,3,2025,False,False
2025-09-23,Mardi,Septembre,3,2025,False,False
2025-09-24,Mercredi,Septembre,3,2025,False,False
2025-09-25,Jeudi,Septembre,3,2025,False,False
2025-09-26,Vendredi,Septembre,3,2025,False,False
2025-09-27,Samedi,Septembre,3,2025,True,False
2025-09-28,Dimanche,Septembre,3,2025,True,False
2025-09-29,Lundi,Septembre,3,2025,False,False
2025-09-30,Mardi,Septembre,3,2025,False,False
2025-10-01,Mercredi,Octobre,4,2025,False,False
2025-10-02,Jeudi,Octobre,4,2025,False,False
2025-10-03,Vendredi,Octobre,4,2025,False,False
2025-10-04,Samedi,Octobre,4,2025,True,False
2025-10-05,Dimanche,Octobre,4,2025,True,False
2025-10-06,Lundi,Octobre,4,2025,False,False
2025-10-07,Mardi,Octobre,4,2025,False,False
2025-10-08,Mercredi,Octobre,4,2025,False,False
2025-10-09,Jeudi,Octobre,4,2025,False,False
2025-10-10,Vendredi,Octobre,4,2025,False,False
2025-10-11,Samedi,Octobre,4,2025,True,False
2025-10-12,Dimanche,Octobre,4,2025,True,False
2025-10-13,Lundi,Octobre,4,2025,False,False
2025-10-14,Mardi,Octobre,4,2025,False,False
2025-10-15,Mercredi,Octobre,4,2025,False,False
2025-10-16,Jeudi,Octobre,4,2025,False,False
2025-10-17,Vendredi,Octobre,4,2025,False,False
2025-10-18,Samedi,Octobre,4,2025,True,False
2025-10-19,Dimanche,Octobre,4,2025,True,False
2025-10-20,Lundi,Octobre,4,2025,False,False
2025-10-21,Mardi,Octobre,4,2025,False,False
2025-10-22,Mercredi,Octobre,4,2025,False,False
2025-10-23,Jeudi,Octobre,4,2025,False,False
2025-10-24,Vendredi,Octobre,4,2025,False,False
2025-10-25,Samedi,Octobre,4,2025,True,False
2025-10-26,Dimanche,Octobre,4,2025,True,False
2025-10-27,Lundi,Octobre,4,2025,False,False
2025-10-28,Mardi,Octobre,4,2025,False,False
2025-10-29,Mercredi,Octobre,4,2025,False,False
2025-10-30,Jeudi,Octobre,4,2025,False,False
2025-10-31,Vendredi,Octobre,4,2025,False,False
2025-11-01,Samedi,Novembre,4,2025,True,True
2025-11-02,Dimanche,Novembre,4,2025,True,False
2025-11-03,Lundi,Novembre,4,2025,False,False
2025-11-04,Mardi,Novembre,4,2025,False,False
2025-11-05,Mercredi,Novembre,4,2025,False,False
2025-11-06,Jeudi,Novembre,4,2025,False,False
2025-11-07,Vendredi,Novembre,4,2025,False,False
2025-11-08,Samedi,Novembre,4,2025,True,False
2025-11-09,Dimanche,Novembre,4,2025,True,False
2025-11-10,Lundi,Novembre,4,2025,False,False
2025-11-11,Mardi,Novembre,4,2025,False,True
2025-11-12,Mercredi,Novembre,4,2025,False,False
2025-11-13,Jeudi,Novembre,4,2025,False,False
2025-11-14,Vendredi,Novembre,4,2025,False,False
2025-11-15,Samedi,Novembre,4,2025,True,False
2025-11-16,Dimanche,Novembre,4,2025,True,False
2025-11-17,Lundi,Novembre,4,2025,False,False
2025-11-18,Mardi,Novembre,4,2025,False,False
2025-11-19,Mercredi,Novembre,4,2025,False,False
2025-11-20,Jeudi,Novembre,4,2025,False,False
2025-11-21,Vendredi,Novembre,4,2025,False,False
2025-11-22,Samedi,Novembre,4,2025,True,False
2025-11-23,Dimanche,Novembre,4,2025,True,False
